"id","natcode","nameunit","nuts_2_code","nuts_3_code","gisco_id"
1,"34063939001",Alfoz de Lloredo,ES13,ES130,ES_39001
2,"34081616177",Reíllo,ES42,ES423,ES_16177
3,"34081616181",Rozalén del Monte,ES42,ES423,ES_16181
4,"34081616185",Saceda-Trasierra,ES42,ES423,ES_16185
5,"34074949069",Figueruela de Arriba,ES41,ES419,ES_49069
6,"34081616186",Saelices,ES42,ES423,ES_16186
7,"34081616187",Salinas del Manzano,ES42,ES423,ES_16187
8,"34074949071",Fonfría,ES41,ES419,ES_49071
9,"34074949075",Fresno de la Polvorosa,ES41,ES419,ES_49075
10,"34074949076",Fresno de la Ribera,ES41,ES419,ES_49076
11,"34074949077",Fresno de Sayago,ES41,ES419,ES_49077
12,"34074949078",Friera de Valverde,ES41,ES419,ES_49078
13,"34074949079",Fuente Encalada,ES41,ES419,ES_49079
14,"34074949080",Fuentelapeña,ES41,ES419,ES_49080
15,"34074949081",Fuentesaúco,ES41,ES419,ES_49081
16,"34074949082",Fuentes de Ropel,ES41,ES419,ES_49082
17,"34074949083",Fuentesecas,ES41,ES419,ES_49083
18,"34074949084",Fuentespreadas,ES41,ES419,ES_49084
19,"34074949085",Galende,ES41,ES419,ES_49085
20,"34074949086",Gallegos del Pan,ES41,ES419,ES_49086
21,"34074949087",Gallegos del Río,ES41,ES419,ES_49087
22,"34074949088",Gamones,ES41,ES419,ES_49088
23,"34074949090",Gema,ES41,ES419,ES_49090
24,"34074949091",Granja de Moreruela,ES41,ES419,ES_49091
25,"34074949092",Granucillo,ES41,ES419,ES_49092
26,"34074949093",Guarrate,ES41,ES419,ES_49093
27,"34074949094",Hermisende,ES41,ES419,ES_49094
28,"34074949095",La Hiniesta,ES41,ES419,ES_49095
29,"34074949096",Jambrina,ES41,ES419,ES_49096
30,"34074949097",Justel,ES41,ES419,ES_49097
31,"34074949098",Losacino,ES41,ES419,ES_49098
32,"34074949099",Losacio,ES41,ES419,ES_49099
33,"34074949100",Lubián,ES41,ES419,ES_49100
34,"34074949101",Luelmo,ES41,ES419,ES_49101
35,"34074949102",El Maderal,ES41,ES419,ES_49102
36,"34074949103",Madridanos,ES41,ES419,ES_49103
